timestamp,copy_max,copy_mean,compute_max,compute_mean
2026-02-23T15:38:53+09:00,26,4.95833,120,55.96510
2026-02-23T15:40:14+09:00,26,4.95833,120,55.96510
2026-02-24T18:38:23+09:00,66,26.81210,101,33.26670
